;Name;Set;Type;Class;Rarity;Cost;Attack;Health;Abilities;Artist;Text;Quote;Img_link;Subtype
677;Darkspeaker;Whispers of the Old Gods;Minion;Neutral;Epic;5;3;6;['Battlecry', 'Set attribute'];Phroilan Gardner;Battlecry: Swap stats with a friendly minion.;People often think that Darkspeaker is the arch nemesis of Lightspeaker, but that title actually belongs to Heavyspeaker.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/2/2e/Darkspeaker%2835229%29.png/revision/latest/scale-to-width-down/200?cb=20160809231351;
678;Darnassus Aspirant;The Grand Tournament;Minion;Druid;Rare;2;2;3;['Battlecry', 'Deathrattle', 'Destroy'];Laurel Austin;"Battlecry: Gain an empty Mana Crystal.
Deathrattle: Lose a Mana Crystal.";She loves mana crystals, she hates mana crystals.   So fickle!;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/8/85/Darnassus_Aspirant%2822303%29.png/revision/latest/scale-to-width-down/200?cb=20161202175449;
679;Dart Trap;The League of Explorers;Spell;Hunter;Common;2;;;['Deal damage', 'Secret'];Zoltan Boros;Secret: After an opposing Hero Power is used, deal 5 damage to a random enemy.;Five years of tap-dancing lessons are FINALLY going to pay off!;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/ce/Dart_Trap%2827227%29.png/revision/latest/scale-to-width-down/200?cb=20200805212450;
680;Day at the Faire;Madness at the Darkmoon Faire;Spell;Paladin;Common;3;;;['Corrupt', 'Summon'];Rafael Zanchetin;Summon 3 Silver Hand Recruits. Corrupt: Summon 5.;Karl knew he would someday regret that turkey leg.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/9/92/Day_at_the_Faire%28378807%29.png/revision/latest/scale-to-width-down/200?cb=20201113112630;
681;Day at the Faire (Corrupted);Madness at the Darkmoon Faire;Spell;Paladin;Common;3;;;['Corrupted', 'Summon'];Rafael Zanchetin;CorruptedSummon 5 Silver Hand Recruits.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/f/f8/Day_at_the_Faire%28378810%29.png/revision/latest/scale-to-width-down/200?cb=20201117221608;
682;Dead Man's Hand;Knights of the Frozen Throne;Spell;Warrior;Epic;2;;;['Copy', 'Generate', 'Shuffle into deck'];Konstantin Turovec;Shuffle a copy of your hand into your deck.;I got two pair, Rags and Armorsmiths. What you got?;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/9/93/Dead_Man%27s_Hand%2862842%29.png/revision/latest/scale-to-width-down/200?cb=20170809155233;
683;Dead Ringer;The Boomsday Project;Minion;Priest;Common;2;2;1;['Deathrattle', 'Put into hand'];Dave Allsop;Deathrattle: Draw a Deathrattle minion from your deck.;Shortstop on N'zoth's softball team.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/c4/Dead_Ringer%2889819%29.png/revision/latest/scale-to-width-down/200?cb=20180802225915;Mech
684;Deadly Arsenal;The Witchwood;Spell;Warrior;Epic;6;;;['Deal damage'];Wayne Reynolds;Reveal a weapon from your deck. Deal its Attack to all minions.;Oh look. A Gorehowl.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/4/4f/Deadly_Arsenal%2889384%29.png/revision/latest/scale-to-width-down/200?cb=20180412141944;
685;Deadly Fork;One Night in Karazhan;Minion;Rogue;Common;3;3;2;['Deathrattle', 'Generate'];Turovec Konstantin;Deathrattle: Add a 3/2 weapon to your hand.;For a proper setting, place the deadly fork after the salad fork, but before the dinner fork.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/0/0a/Deadly_Fork%2842057%29.png/revision/latest/scale-to-width-down/200?cb=20160809235100;
686;Deadly Poison;Basic;Spell;Rogue;;1;;;['Increment attribute'];Trevor Jacobs;Give your weapon +2 Attack.;Rogues guard the secrets to poison-making carefully, lest magi start incorporating poison into their spells.  Poisonbolt? Rain of Poison?  Poison Elemental?  Nobody wants that.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/9/96/Deadly_Poison%2887%29.png/revision/latest/scale-to-width-down/200?cb=20150617010515;
687;Deadly Shot;Classic;Spell;Hunter;Common;3;;;['Destroy'];Steve Prescott;Destroy a random enemy minion.;Our ballista operator is effective, but not picky.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/e/ef/Deadly_Shot%28239%29.png/revision/latest/scale-to-width-down/200?cb=20200805211916;
688;Deadscale Knight;Knights of the Frozen Throne;Minion;Neutral;Common;1;1;1;['Lifesteal'];Rafael Zanchetin;Lifesteal;His favorite spell is Chum Explosion.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/f/f2/Deadscale_Knight%2862931%29.png/revision/latest/scale-to-width-down/200?cb=20170808235329;Murloc
689;Death and Decay;Knights of the Frozen Throne;Spell;Death Knight;;3;;;['Deal damage'];Dan Scott;Deal 3 damage to all enemies.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/0/04/Death_and_Decay%2863056%29.png/revision/latest/scale-to-width-down/200?cb=20170809011500;
690;Death Coil;Knights of the Frozen Throne;Spell;Death Knight;;2;;;['Deal damage', 'Restore Health'];Dave Allsop;Deal 5 damage to an enemy, or restore 5 Health to a friendly character.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/7/7e/Death_Coil%2863052%29.png/revision/latest/scale-to-width-down/200?cb=20170809005900;
691;Death Grip;Knights of the Frozen Throne;Spell;Death Knight;;2;;;['Generate', 'Steal'];Luca Zontini;Steal a minion from your opponent's deck and add it to your hand.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/4/47/Death_Grip%2863051%29.png/revision/latest/scale-to-width-down/200?cb=20170809011854;
692;Death Revenant;Knights of the Frozen Throne;Minion;Warrior;Rare;5;3;3;['Battlecry', 'Increment attribute'];Konstantin Turovec;Battlecry: Gain +1/+1 for each damaged minion.;How's everyone doing? Hurt? Bleeding? Wounded? ... Excellent.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/0/00/Death_Revenant%2862926%29.png/revision/latest/scale-to-width-down/200?cb=20170810021523;
693;Death's Bite;Naxxramas;Weapon;Warrior;Common;4;4;;['Deal damage', 'Deathrattle'];Jim Nelson;Deathrattle: Deal 1 damage to all minions.;"""Take a bite outta Death."" - McScruff the Deathlord";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/f/ff/Death%27s_Bite%287734%29.png/revision/latest/scale-to-width-down/200?cb=20200805165708;
694;Death's Shadow;Knights of the Frozen Throne;Hero Power;Rogue;;0;;;['Generate', 'Passive'];Unknown artist;Passive Hero PowerDuring your turn, add a 'Shadow Reflection' to your hand.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/b/be/Death%27s_Shadow%2862877%29.png/revision/latest/scale-to-width-down/200?cb=20170809035301;
695;Deathaxe Punisher;Knights of the Frozen Throne;Minion;Neutral;Epic;4;3;3;['Battlecry', 'Increment attribute'];Luca Zontini;Battlecry: Give a random Lifesteal minion in your hand +2/+2.;Don't fear the Arcanite Reaper.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/c3/Deathaxe_Punisher%2862949%29.png/revision/latest/scale-to-width-down/200?cb=20170809003752;
696;Deathlord;Naxxramas;Minion;Neutral;Rare;3;2;8;['Deathrattle', 'Put into battlefield', 'Taunt'];Ben Olson;Taunt. Deathrattle: Your opponent puts a minion from their deck into the battlefield.;"""Rise from your grave!"" - Kel'Thuzad";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/6/69/Deathlord%287753%29.png/revision/latest/scale-to-width-down/200?cb=20160324162800;
697;Deathlord Nazgrim;Knights of the Frozen Throne‎;Minion;Paladin;;2;2;2;[];Alex Horley Orlandelli;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/5/52/Deathlord_Nazgrim%2863078%29.png/revision/latest/scale-to-width-down/200?cb=20200327184622;
698;Deathmatch Pavilion;Madness at the Darkmoon Faire;Spell;Shaman;Epic;2;;;['Summon'];J. Cheung & A. Bozonnet;Summon a 3/2 Duelist. If your hero attacked this turn, summon another.;Worth it for the stuffed toy at the end.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/1/17/Deathmatch_Pavilion%28388963%29.png/revision/latest/scale-to-width-down/200?cb=20201113112839;
699;Deathspeaker;Knights of the Frozen Throne;Minion;Neutral;Common;3;2;4;['Battlecry', 'Immune'];Luca Zontini;Battlecry: Give a friendly minion Immune this turn.;It helps to speak really, really loud.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/3/36/Deathspeaker%2862892%29.png/revision/latest/scale-to-width-down/200?cb=20170809000459;
700;Deathstalker Rexxar;Knights of the Frozen Throne;Hero card;Hunter;Legendary;6;;;['Battlecry', 'Deal damage', 'Gain Armor', 'Replace Hero Power'];Jomaro Kindred;Battlecry: Deal 2 damage to all enemy minions.;"""You were too slow, old friend. The hunt began long ago. And now... it will never end.""";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/e/e6/Deathstalker_Rexxar%2858724%29.png/revision/latest/scale-to-width-down/200?cb=20200805183343;
701;Deathweb Spider;The Witchwood;Minion;Warlock;Epic;5;4;6;['Battlecry'];Konstantin Turovec;Battlecry: If your hero took damage this turn, gain Lifesteal.;The itsy bitsy spiders climbed up the village wall. Then came the witch and the spiders ate them all.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/9/9f/Deathweb_Spider%2889395%29.png/revision/latest/scale-to-width-down/200?cb=20180412140648;Beast
702;Deathwing;Classic;Minion;Neutral;Legendary;10;12;12;['Battlecry', 'Destroy', 'Discard'];Bernie Kang;Battlecry: Destroy all other minions and discard your hand.;Once a noble dragon known as Neltharion, Deathwing lost his mind and shattered Azeroth before finally being defeated.  Daddy issues?;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/d/df/Deathwing%28474%29.png/revision/latest/scale-to-width-down/200?cb=20160402214243;Dragon
703;Deathwing, Dragonlord;Whispers of the Old Gods;Minion;Neutral;Legendary;10;12;12;['Deathrattle', 'Put into battlefield'];Alex Horley;Deathrattle: Put all Dragons from your hand into the battlefield.;"To his credit, Deathwing really took to heart the feedback he was receiving that he needed to be ""more of a team player"".";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/b/bb/Deathwing%2C_Dragonlord%2833177%29.png/revision/latest/scale-to-width-down/200?cb=20160426231126;Dragon
704;Deathwing, Mad Aspect;Descent of Dragons;Minion;Warrior;Legendary;8;12;12;['Battlecry', 'Force attack'];Ludo Lullabi;Battlecry: Attack ALL other minions.;Bite that one, bite that other one, claw this one, swallow that one whole....;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/5/52/Deathwing%2C_Mad_Aspect%28127293%29.png/revision/latest/scale-to-width-down/200?cb=20191206181659;Dragon
705;Deck of Chaos;Madness at the Darkmoon Faire;Spell;Warlock;Legendary;6;;;['Modify cost', 'Set attribute'];Evgeniy Dlinnov;Swap the Cost and Attack of all minions in your deck.;Yeah, it's chaos, but it's organized chaos.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/6/68/Deck_of_Chaos%28388951%29.png/revision/latest/scale-to-width-down/200?cb=20201113112333;
706;Deck of Lunacy;Madness at the Darkmoon Faire;Spell;Mage;Legendary;2;;;['Modify cost', 'Replace', 'Set attribute'];Ivan Fomin;Transform spells in your deck into ones that cost (3) more. (They keep their original Cost.);"Voted ""Most Lunacy"" in Madness Monthly magazine.";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/d/d4/Deck_of_Lunacy%28388957%29.png/revision/latest/scale-to-width-down/200?cb=20201113112843;
707;Deck of Wonders;Kobolds and Catacombs;Spell;Mage;Epic;5;;;['Generate', 'Shuffle into deck'];Efrem Palacios;Shuffle 5 Scrolls into your deck. When drawn, cast a random spell.;"""Pick a card, any card. Wait! No! Not that one!"" - Last words of previous owner";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/0/0e/Deck_of_Wonders%2876942%29.png/revision/latest/scale-to-width-down/200?cb=20171209170936;
708;Deep Freeze;Ashes of Outland;Spell;Mage;Rare;8;;;['Freeze', 'Summon'];Jim Nelson;Freeze an enemy. Summon two 3/6 Water Elementals.;"""Dancing with the Satyrs… on Ice!""";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/2/25/Deep_Freeze%28210794%29.png/revision/latest/scale-to-width-down/200?cb=20201007135744;
709;Defender;Classic;Minion;Paladin;;1;2;1;[];Zoltan & Gabor;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/b/b4/Defender%28318%29.png/revision/latest/scale-to-width-down/200?cb=20190907030815;
710;Defender of Argus;Classic;Minion;Neutral;Rare;4;2;3;['Battlecry', 'Increment attribute'];Alex Horley;Battlecry: Give adjacent minions +1/+1 and Taunt.;You wouldn’t think that Argus would need this much defending.   But it does.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/7/76/Defender_of_Argus%28542%29.png/revision/latest/scale-to-width-down/200?cb=20160323214030;
711;Defias Bandit;Classic;Minion;Rogue;Common;1;2;1;[];Ralph Horsley;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/a/a1/Defias_Bandit%289%29.png/revision/latest/scale-to-width-down/200?cb=20160323214557;
712;Defias Cleaner;Mean Streets of Gadgetzan;Minion;Neutral;Epic;6;5;7;['Battlecry', 'Silence'];Gonzalo Ordonez;Battlecry: Silence a minion with Deathrattle.;His house cleaning service is quite thorough. Not a spot to be found... or any of your stuff!;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/2/2e/Defias_Cleaner%2849738%29.png/revision/latest/scale-to-width-down/200?cb=20161202182002;
713;Defias Ringleader;Classic;Minion;Rogue;Common;2;2;2;['Combo', 'Summon'];Dany Orizio;Combo: Summon a 2/1 Defias Bandit.;He stole the deed to town years ago, so technically the town is his. He just calls people Scrub to be mean.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/a/a6/Defias_Ringleader%28417%29.png/revision/latest/scale-to-width-down/200?cb=20160323214542;
714;Defile;Knights of the Frozen Throne;Spell;Warlock;Rare;2;;;['Deal damage', 'Recurring'];Dave Allsop;Deal 1 damage to all minions. If any die, cast this again.;This spell was originally designed to help warlocks clean up their hard drives.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/7/7b/Defile%2862840%29.png/revision/latest/scale-to-width-down/200?cb=20170810022117;
715;Delivery Drone;The Boomsday Project;Hero Power;Warrior;;2;;;['Discover'];Konstantin Turovec;Hero PowerDiscover a Mech.Swaps each turn.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/d/d5/Delivery_Drone%2889831%29.png/revision/latest/scale-to-width-down/200?cb=20180802213413;
716;Demented Frostcaller;Whispers of the Old Gods;Minion;Mage;Rare;4;2;4;['Freeze'];Arthur Gimaldinov;After you cast a spell, Freeze a random enemy character.;He prefers that you refer to him by his nickname: 'Frostwaker.';https://static.wikia.nocookie.net/hearthstone_gamepedia/images/a/ae/Demented_Frostcaller%2835184%29.png/revision/latest/scale-to-width-down/200?cb=20160426225101;
717;Demolisher;Classic;Minion;Neutral;Rare;3;1;4;['Deal damage'];Raymond Swanland;At the start of your turn, deal 2 damage to a random enemy.;Laying siege isn't fun for anyone.  It's not even all that effective, now that everyone has a flying mount.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/3/3c/Demolisher%28212%29.png/revision/latest/scale-to-width-down/200?cb=20160323214200;Mech
718;Demon Claws;;Hero Power;Demon Hunter;;1;;;['Increment attribute'];Virtuos;Hero Power+1 Attack this turn.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/b/b9/Demon_Claws%28211334%29.png/revision/latest/scale-to-width-down/200?cb=20201007135754;
719;Demon Companion;Scholomance Academy;Spell;Demon Hunter;Rare;1;;;['Summon'];Zoltan Boros;Summon a random Demon Companion.;Owning a pet can be real hell at times.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/4/4e/Demon_Companion%28329950%29.png/revision/latest/scale-to-width-down/200?cb=20200911160030;
720;Demon's Bite;;Hero Power;Demon Hunter;;1;;;['Increment attribute'];Virtuos;Hero Power+2 Attack this turn.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/2/20/Demon%27s_Bite%28211335%29.png/revision/latest/scale-to-width-down/200?cb=20201007135800;
721;Demonbolt;Rastakhan's Rumble;Spell;Warlock;Common;8;;;['Destroy'];Akkapoj T.;Destroy a minion. Costs (1) less for each minion you control.;Or as it’s known in troll, “De bolt, mon.”;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/0/0c/Demonbolt%2890261%29.png/revision/latest/scale-to-width-down/200?cb=20181130130317;
722;Demonfire;Classic;Spell;Warlock;Common;2;;;['Deal damage', 'Increment attribute'];Ben Wootten;Deal 2 damage to a minion.   If it's a friendly Demon, give it +2/+2 instead.;Demonfire is like regular fire except for IT NEVER STOPS BURNING HELLLPPP;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/1/19/Demonfire%28452%29.png/revision/latest/scale-to-width-down/200?cb=20160323223701;
723;Demonfuse;The Grand Tournament;Spell;Warlock;Common;2;;;['Increment attribute'];Kevin Chen;Give a Demon +3/+3. Give your opponent a Mana Crystal.;Very dangerous when attached to a demonbomb.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/e/eb/Demonfuse%2822300%29.png/revision/latest/scale-to-width-down/200?cb=20160324183826;
724;Demonheart;Goblins vs Gnomes;Spell;Warlock;Epic;5;;;['Deal damage', 'Increment attribute'];Kerem Beyit;Deal 5 damage to a minion.  If it's a friendly Demon, give it +5/+5 instead.;Virtually every member of the pro demon lobby is a warlock. Weird.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/5/53/Demonheart%2812237%29.png/revision/latest/scale-to-width-down/200?cb=20160324171527;
725;Demonic Blast (First use);Ashes of Outland;Hero Power;Demon Hunter;;1;;;['Deal damage', 'Replace Hero Power'];Akkapoj T.;Hero PowerDeal 4 damage.(Two uses left!);See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/e/eb/Demonic_Blast%28211116%29.png/revision/latest/scale-to-width-down/200?cb=20200715075113;
726;Demonic Blast (Second use);Ashes of Outland;Hero Power;Demon Hunter;;1;;;['Deal damage', 'Replace Hero Power'];Akkapoj T.;Hero PowerDeal 4 damage.(Last use!);See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/e/ee/Demonic_Blast%28211117%29.png/revision/latest/scale-to-width-down/200?cb=20200715075012;
727;Demonic Project;The Boomsday Project;Spell;Warlock;Common;2;;;['Transform'];J. Paick & K. Turovec;Each player transforms a random minion in their hand into a Demon.;Another group project where Jaraxxus doesn't do any work.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/ca/Demonic_Project%2889825%29.png/revision/latest/scale-to-width-down/200?cb=20180802222143;
728;Demonic Studies;Scholomance Academy;Spell;Warlock;Common;1;;;['Discover', 'Increment attribute', 'Modify cost'];Kagi;Discover a Demon. Your next one costs (1) less.;"""Do you wanna summon a demon? I wanna summon a demon!""";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/a/ab/Demonic_Studies%28329975%29.png/revision/latest/scale-to-width-down/200?cb=20200911160023;
729;Demonwrath;Blackrock Mountain;Spell;Warlock;Rare;3;;;['Deal damage'];Raymond Swanland;Deal 2 damage to all minions except Demons.;Demons are not angry most of the time. You have to play this card in order to really bring it out of them.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/8/81/Demonwrath%2814463%29.png/revision/latest/scale-to-width-down/200?cb=20170725160848;
730;Dendrologist;The Boomsday Project;Minion;Druid;Rare;2;2;3;['Battlecry', 'Discover'];Matt Dixon;Battlecry: If you control a Treant, Discover a spell.;"He's teaching his little buddy to talk, but all it says is, ""I am Gloop.""";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/cc/Dendrologist%2889816%29.png/revision/latest/scale-to-width-down/200?cb=20180802235453;
731;Depth Charge;Descent of Dragons;Minion;Neutral;Rare;1;0;5;['Deal damage'];Dan Scott;At the start of your turn, deal 5 damage to ALL minions.;* Does not have Charge.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/5/53/Depth_Charge%28151365%29.png/revision/latest/scale-to-width-down/200?cb=20191206184155;
732;Derailed Coaster;Madness at the Darkmoon Faire;Minion;Neutral;Rare;5;3;2;['Battlecry', 'Summon'];Mauricio Herrera;Battlecry: Summon a 1/1 Rider with Rush for each minion in your hand.;"So long as it doesn’t kill you, it's considered part of the ride ""experience.""";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/b/b4/Derailed_Coaster%28389033%29.png/revision/latest/scale-to-width-down/200?cb=20201113112405;
733;Deranged Doctor;The Witchwood;Minion;Neutral;Common;8;8;8;['Deathrattle', 'Restore Health'];Dave Allsop;Deathrattle: Restore 8 Health to your hero.;Unfortunately, his doctorate is in Murloc Literature.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/6/6a/Deranged_Doctor%2889466%29.png/revision/latest/scale-to-width-down/200?cb=20180412035838;
734;Desert Camel;The League of Explorers;Minion;Hunter;Common;3;2;4;['Battlecry', 'Put into battlefield'];Matt Dixon;Battlecry: Put a 1-Cost minion from each deck into the battlefield.;Dang.  This card is sweet.  Almost as sweet as Dessert Camel.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/4/44/Desert_Camel%2827251%29.png/revision/latest/scale-to-width-down/200?cb=20200805180338;Beast
735;Desert Hare;Saviors of Uldum;Minion;Neutral;Common;3;1;1;['Battlecry', 'Summon'];Ware Li;Battlecry: Summon two 1/1 Desert Hares.;After they're caught, they're dessert hares.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/3/36/Desert_Hare%2890830%29.png/revision/latest/scale-to-width-down/200?cb=20200124232215;Beast
736;Desert Obelisk;Saviors of Uldum;Minion;Neutral;Epic;5;0;5;['Deal damage'];Daria Tuzova;If you control 3 of these at the end of your turn, deal 5 damage to a randon enemy.;The Obelisk of the Stars can hide an entire land from prying eyes! Or zap a rando.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/9/93/Desert_Obelisk%2890734%29.png/revision/latest/scale-to-width-down/200?cb=20200124233522;
737;Desert Spear;Saviors of Uldum;Weapon;Hunter;Common;3;1;;['Summon'];Jason Kang;After your hero attacks, summon a 1/1 Locust with Rush.;Goes on the right, next to the desert spoon.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/5/5f/Desert_Spear%2890775%29.png/revision/latest/scale-to-width-down/200?cb=20200805170652;
738;Desk Imp;Scholomance Academy;Minion;Neutral;Common;0;1;1;[];Alex Horley;"""I feel inky!""";See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/0/05/Desk_Imp%28329981%29.png/revision/latest/scale-to-width-down/200?cb=20200911155644;Demon
739;Desperate Dreadlord;Ashes of Outland;Minion;Warlock;;5;5;5;['Lifesteal'];Anton Zemskov;Lifesteal;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/9/93/Desperate_Dreadlord%28211107%29.png/revision/latest/scale-to-width-down/200?cb=20200401145357;Demon
740;Desperate Measures;Rise of Shadows;Spell;Paladin;Rare;1;;;['Cast spell', 'Generate', 'Twinspell'];James Ryman;TwinspellCast a random Paladin Secret.;Desperate times call for disparate secrets.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/5/58/Desperate_Measures%2890616%29.png/revision/latest/scale-to-width-down/200?cb=20191103181040;
741;Desperate Measures (Twinspell);Rise of Shadows;Spell;Paladin;Rare;1;;;['Cast spell'];James Ryman;Cast a random Paladin Secret.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/e/e9/Desperate_Measures%2890981%29.png/revision/latest/scale-to-width-down/200?cb=20191103181206;
742;Desperate Stand;Knights of the Frozen Throne;Spell;Paladin;Rare;2;;;['Copy', 'Summon'];Grace Liu;"Give a minion ""Deathrattle: Return this to life with 1 Health.""";They're grateful for the help, but most minions would prefer not dying in the first place.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/6/6d/Desperate_Stand%2862880%29.png/revision/latest/scale-to-width-down/200?cb=20170809031814;
743;Despicable Dreadlord;Knights of the Frozen Throne;Minion;Warlock;Rare;5;4;5;['Deal damage'];Konstantin Turovec;At the end of your turn, deal 1 damage to all enemy minions.;He's deathspicable.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/5/58/Despicable_Dreadlord%2862903%29.png/revision/latest/scale-to-width-down/200?cb=20170810022333;Demon
744;Devastate;Rastakhan's Rumble;Spell;Warrior;Common;1;;;['Deal damage'];Slawomir Maniak;Deal 4 damage to a damaged minion.;No thanks, I already devast-ate.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/4/46/Devastate%2890291%29.png/revision/latest/scale-to-width-down/200?cb=20181130134453;
745;Devilsaur;Classic;Minion;Neutral;;5;5;5;[];John Polidora;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/d/d3/Devilsaur%28354%29.png/revision/latest/scale-to-width-down/200?cb=20190907030842;Beast
746;Devilsaur (Baited Arrow);Rastakhan's Rumble;Minion;Hunter;;5;5;5;[];Anton Zemskov;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/7/72/Devilsaur%2890307%29.png/revision/latest/scale-to-width-down/200?cb=20200805174824;Beast
747;Devilsaur (Devilsaur Egg);Journey to Un'Goro;Minion;Neutral;;5;5;5;[];Arthur Bozonnet;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/a/ae/Devilsaur%2855599%29.png/revision/latest/scale-to-width-down/200?cb=20170406165931;Beast
748;Devilsaur Egg;Journey to Un'Goro;Minion;Neutral;Rare;3;0;3;['Deathrattle', 'Summon'];Arthur Bozonnet;Deathrattle: Summon a 5/5 Devilsaur.;A key ingredient in all discerning Funnel Cake recipes.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/5/53/Devilsaur_Egg%2855567%29.png/revision/latest/scale-to-width-down/200?cb=20170407185552;
749;Devolve;Mean Streets of Gadgetzan;Spell;Shaman;Rare;2;;;['Transform'];Sean McNally;Transform all enemy minions into random ones that cost (1) less.;"Ragnaros looked down. He looked like some kind of War Golem. ""WHAT HAVE YOU DONE TO ME,"" he yelled. But all that came out was a deep grinding sound. He began to cry.";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/cb/Devolve%2849715%29.png/revision/latest/scale-to-width-down/200?cb=20161202180249;
750;Devolving Missiles;Scholomance Academy;Spell;Shaman;Epic;1;;;['Transform'];Matt Dixon;Shoot three missiles at random enemy minions that transform them into ones that cost (1) less.;Most intermural spell-dueling contests end with a field of wisps.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/a/a7/Devolving_Missiles%28329865%29.png/revision/latest/scale-to-width-down/200?cb=20200911160016;
751;Devoted Maniac;Descent of Dragons;Minion;Neutral;Common;4;2;2;['Battlecry', 'Invoke', 'Rush'];Anzka Nguyen;Rush Battlecry: Invoke Galakrond.;There are plenty of apathetic maniacs, but they couldn't be bothered.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/8/86/Devoted_Maniac%28127300%29.png/revision/latest/scale-to-width-down/200?cb=20191206183025;
752;Devour Mind;Knights of the Frozen Throne;Spell;Priest;Rare;5;;;['Copy', 'Generate'];Paul Kwon;Copy 3 cards in your opponent's deck and add them to your hand.;A mind is a terrible thing to waste. Seconds, anyone?;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/b/b8/Devour_Mind%2862868%29.png/revision/latest/scale-to-width-down/200?cb=20170809033252;
